County,Water Source 2009,Water Source 2019,% Change Water Source,Sanitation 2009,Sanitation 2019,% Change Sanitation
Nairobi ,16.3,14.7,-9.8,12.1,3.2,-73.6
Nyamira,51.7,48.9,-5.4,33.2,24,-27.7
Kisii,49.4,48.3,-2.2,30.6,25.4,-29.4
Migori,71.9,56.1,-22,47.6,24.9,-47.7
Homa Bay,72.2,49.1,-32,58.5,25.3,-56.8
Kisumu,46.3,28.4,-38.7,43,14.5,-66.3
Siaya,64.2,45.7,-28.8,51.3,17.7,-65.5
Busia,38.9,26.4,-32.1,38.7,17.7,-54.3
Bungoma,28.2,20.2,-28.4,28.2,16.7,-40.8
Vihiga,36.7,32,-12.8,13.5,9,-33.3
Kakamega,38.9,27.9,-28.3,16,10.6,-33.8
Bomet,74.5,63.1,-15.3,33.5,14.4,-57
Kericho,58.7,56.8,-3.2,36.2,16.4,-54.7
Kajiado,33.8,33.5,-0.9,44.6,25.5,-42.8
Narok,79.9,72.2,-9.6,65,42,-35.4
Nakuru,40.4,30.3,-25,24.2,11.9,-50.8
Laikipia,49.7,39.4,-20.7,31.3,21.5,-31.3
Baringo,76.4,67.9,-11.1,60.7,42.1,-30.6
Nandi,64,56,-12.5,27.8,13.3,-52.2
Elgeyo-Marakwet,63,56.8,-9.8,48.7,30.3,-37.8
Uasin Gishu,25.7,20.5,-20.2,22.2,10,-55
Trans Nzoia,34.9,25.2,-27.8,25.4,16,-37
Samburu,66.3,66.3,0,80.6,73.5,-8.8
West Pokot,75.6,69,-8.7,72.6,49.7,-31.5
Turkana,61.2,54.5,-10.9,91.7,74.2,-14.7
Kiambu,25,13.9,-44.4,20.2,3.6,-82.2
Murang'a,58.7,34.9,-40.5,32.1,5.7,-82.2
Kirinyaga,47,31.9,-32.1,17.1,17.1,-76
Nyeri,35.7,17.9,-49.9,25.8,5.3,-79.5
Nyandarua,41.2,23.2,-43.7,26.3,6.9,-74.1
Makueni,64.3,56.7,-11.8,44.1,15.1,-65.8
Machakos,63.5,43.6,-31.3,39,11.8,-69.7
Kitui,73.6,63.1,-14.3,47.6,22.2,-53.4
Embu,51.3,34,-33.7,35.3,9.6,-72.8
Tharaka-Nithi,54.2,44.3,-18.3,40,13.8,-65.5
Meru,40.7,38.8,-4.7,21.8,10.6,-51.4
Isiolo,41.1,36.4,-11.4,59.9,39.6,-33.9
Marsabit,61.8,53,-14.2,73,58.4,-20
Mandera,62.1,62.5,0.6,83.6,64.7,-22.6
Wajir,54.1,51.2,-5.4,92.8,70.6,-23.9
Garissa,49.1,50.1,2,77.7,58.8,-24.3
Taita-Taveta,36.4,31.5,-13.5,33,15.1,-54.2
Lamu,47.4,32.2,-32.1,43.3,35.7,-17.6
Tana River,58.4,46.8,-19.9,78.3,61.4,-21.6
Kilifi,36.3,32.9,-9.4,58.3,32.5,-44.3
Kwale,52.8,49.3,-6.6,70.3,47.6,-32.3
Mombasa,24.2,43.1,78.1,18.3,8.7,-52.5
